ds,y
2015-01-01,19546.163
2015-02-01,11678.994
2015-03-01,6716.044
2015-04-01,12455.482
2015-05-01,15165.051
2015-06-01,11884.169
2015-07-01,10075.74
2015-08-01,26797.763
2015-09-01,17158.932
2015-10-01,10112.641
2015-11-01,18349.764
2015-12-01,17045.8427
2016-01-01,17701.686400000002
2016-02-01,13018.315
2016-03-01,12207.4066
2016-04-01,11963.696
2016-05-01,10483.482
2016-06-01,13026.6682
2016-07-01,10706.72
2016-08-01,22782.577
2016-09-01,16484.901
2016-10-01,12293.038
2016-11-01,12139.0395
2016-12-01,9761.333
2017-01-01,26342.541
2017-02-01,42967.915
2017-03-01,25982.287
2017-04-01,19472.164
2017-05-01,22649.3888
2017-06-01,14050.143
2017-07-01,16501.007
2017-08-01,24156.3226
2017-09-01,9789.662
2017-10-01,22599.782
2017-11-01,20378.24
2017-12-01,21365.1485
2018-01-01,27367.592
2018-02-01,36285.936
2018-03-01,26882.953
2018-04-01,21203.607
2018-05-01,15979.157
2018-06-01,12138.1558
2018-07-01,25110.4795
2018-08-01,26823.69
2018-09-01,23148.87
2018-10-01,17558.322
2018-11-01,17407.27
2018-12-01,16647.042
